web_scraper_order,web_scraper_start_url,type,prix,adresse,image
"1767607707-1","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon homme","12 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1767607707-2","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon kaki","12 000CFA","Dakar, Sénégal",""
"1767607707-3","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Kaki de luxe","12 000CFA","Dakar, Sénégal",""
"1767607707-4","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon kaki","12 000CFA","Dakar, Sénégal",""
"1767607707-5","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Chemises Giant","17 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1767607707-6","https://sn.coinafrique.com/categorie/vetements-homme?page=119","T-shirts homme","11 500CFA","Biscuiterie, Dakar, Sénégal",""
"1767607707-7","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble lacoste kaki","11 000CFA","Dakar, Sénégal",""
"1767607707-8","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","15 000CFA","Dakar, Sénégal",""
"1767607707-9","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","15 000CFA","Dakar, Sénégal",""
"1767607707-10","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble chomme","15 000CFA","Dakar, Sénégal",""
"1767607707-11","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalons homme","Prix sur demande","Guediawaye, Dakar, Sénégal",""
"1767607707-12","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtement homme","Prix sur demande","Guediawaye, Dakar, Sénégal",""
"1767607707-13","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtement homme","Prix sur demande","Guediawaye, Dakar, Sénégal",""
"1767607707-14","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtements homme","Prix sur demande","Guediawaye, Dakar, Sénégal",""
"1767607707-15","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtements Homme","Prix sur demande","Guediawaye, Dakar, Sénégal",""
"1767607707-16","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtements hommes","Prix sur demande","Guediawaye, Dakar, Sénégal",""
"1767607707-17","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Polo Lacoste","10 000CFA","Dakar, Sénégal",""
"1767607707-18","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Lacoste homme","10 000CFA","Dakar, Sénégal",""
"1767607707-19","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Lacoste Homme","10 000CFA","Dakar, Sénégal",""
"1767607707-20","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Lacoste homme","10 000CFA","Dakar, Sénégal",""
"1767607707-21","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Polo Lacoste","10 000CFA","Dakar, Sénégal",""
