web_scraper_order,web_scraper_start_url,image,type,prix,adresse
"1766586681-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2404255_uploaded_image1_1594078407.jpg","Chaussures Homme","Prix sur demande","Guediawaye, Dakar, Sénégal"
"1766586681-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2404252_uploaded_image1_1594078317.jpg","Chaussures homme","25 000CFA","Guediawaye, Dakar, Sénégal"
"1766586681-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403907_uploaded_image1_1594072972.jpg","Babouches","Prix sur demande","Patte d'oie, Dakar, Sénégal"
"1766586681-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403902_uploaded_image1_1594072699.jpg","Chaussures hommes","15 000CFA","Dakar, Sénégal"
"1766586681-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403897_uploaded_image1_1594072584.jpg","Chaussures hommes","15 000CFA","Dakar, Sénégal"
"1766586681-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403881_uploaded_image1_1594072420.jpg","Chaussures Homme","25 000CFA","Dakar, Sénégal"
"1766586681-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403879_uploaded_image1_1594072340.jpg","Chaussures Hommes","15 000CFA","Dakar, Sénégal"
"1766586681-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403783_uploaded_image1_1594070206.jpg","Chaussures hommes","6 500CFA","Dakar, Sénégal"
"1766586681-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403616_uploaded_image1_1594067655.jpg","Chaussures Air Adidas","5 000CFA","Grand Dakar, Dakar, Sénégal"
"1766586681-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403609_uploaded_image1_1594067552.jpg","Baskets Air Zoom","15 000CFA","Grand Dakar, Dakar, Sénégal"
"1766586681-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2403598_uploaded_image1_1594067476.jpg","Chaussures Tik tik","4 000CFA","Grand Dakar, Dakar, Sénégal"
"1766586681-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2401831_uploaded_image1_1594047272.jpg","Chaussures hommes","Prix sur demande","Patte d'oie, Dakar, Sénégal"
"1766586681-13","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","https://images.coinafrique.com/thumb_2401510_uploaded_image1_1594043856.jpg","Chaussures en cuir - marron et noir","7 000CFA","Parcelle Assainies, Dakar, Sénégal"
